label,ï»¿publisher,publisherarea,publishertype,year,rawtitle,usedtitle,title_tokens,cluster
47,tribunnews,national,media,2018,Beli Rp        Ribu   Penjual Satwa Dilindungi Menjualnya Rp    Juta per Ekor,beli rp ribu jual satwa lindung jual rp juta ekor,"['beli', 'rp', 'ribu', 'jual', 'satwa', 'lindung', 'jual', 'rp', 'juta', 'ekor']",2
48,dw,national,media,2018,Teknologi Tinggi Gempur Perdagangan Ilegal Satwa Langka,teknologi tinggi gempur dagang ilegal satwa langka,"['teknologi', 'tinggi', 'gempur', 'dagang', 'ilegal', 'satwa', 'langka']",3
49,tribunnews,national,media,2018,Terungkap Inilah Fakta Mengejutkan di Balik Buah Durian Namanya Kelelawar ,fakta kejut buah durian nama kelelawar,"['fakta', 'kejut', 'buah', 'durian', 'nama', 'kelelawar']",1
50,tribunnews,national,media,2018,Populasi Owa Jawa Terancam   Pokdarwis Hutan Lindung Petungkriyono ,populasi owa jawa ancam pokdarwis hutan lindung petungkriyono,"['populasi', 'owa', 'jawa', 'ancam', 'pokdarwis', 'hutan', 'lindung', 'petungkriyono']",5
51,tirto,national,media,2018,Para Petualang Cantik yang Tak Paham Kima Tak Boleh Dimakan,tualang cantik paham kima makan,"['tualang', 'cantik', 'paham', 'kima', 'makan']",1
52,ipb,local,academic,2018,Studi Ekologi dan Populasi Kukang di Pulau Bangka ,studi ekologi populasi kukang pulau bangka,"['studi', 'ekologi', 'populasi', 'kukang', 'pulau', 'bangka']",1
53,menlhk,national,government,2018,Primata Malam Gunung Ciremai ,primata malam gunung ciremai,"['primata', 'malam', 'gunung', 'ciremai']",7
54,menlhk,national,government,2018,Kelahiran Anak Kukang BBKSDA Sumatera Utara ,lahir anak kukang bbksda sumatera utara,"['lahir', 'anak', 'kukang', 'bbksda', 'sumatera', 'utara']",4
55,kukangku,national,community,2018,Beginilah Cara Membuat Kukang Jinak ,kukang jinak,"['kukang', 'jinak']",4
56,aa,national,media,2018,BKSDA Lampung selamatkan kukang albino dari transaksi jual beli satwa,bksda lampung selamat kukang albino transaksi jual beli satwa,"['bksda', 'lampung', 'selamat', 'kukang', 'albino', 'transaksi', 'jual', 'beli', 'satwa']",2
57,menlhk,national,government,2018,Stop Kekang Kukang ,stop kekang kukang,"['stop', 'kekang', 'kukang']",4
58,menlhk,national,government,2018,Jelang Hari Primata Indonesia   BKSDA Kalteng release    ekor kukang di SM Lamandau dan CA Pararawen ,jelang primata indonesia bksda kalteng release ekor kukang sm lamandau ca pararawen,"['jelang', 'primata', 'indonesia', 'bksda', 'kalteng', 'release', 'ekor', 'kukang', 'sm', 'lamandau', 'ca', 'pararawen']",7
59,menlhk,national,government,2018,Balai Besar KSDA Jatim Tangkap Penjual Kukang Online ,balai ksda jatim tangkap jual kukang online,"['balai', 'ksda', 'jatim', 'tangkap', 'jual', 'kukang', 'online']",2
60,menlhk,national,government,2018,Sang Ibu Kukang dan Anaknya Mendapatkan Kembali Kebebasannya ,sang kukang anak bebas,"['sang', 'kukang', 'anak', 'bebas']",4
61,menlhk,national,government,2018,BBKSDA Riau Terima Kukang Dari Warga Duri ,bbksda riau terima kukang warga duri,"['bbksda', 'riau', 'terima', 'kukang', 'warga', 'duri']",0
62,antaranews,national,media,2018,     kukang jawa siap dilepasliarkan di Hutan Ciamis ,kukang jawa lepasliar hutan ciamis,"['kukang', 'jawa', 'lepasliar', 'hutan', 'ciamis']",5
63,menlhk,national,government,2018,Balai KSDA Aceh Lepasliarkan Kukang dan Siamang ,balai ksda aceh lepasliar kukang siamang,"['balai', 'ksda', 'aceh', 'lepasliar', 'kukang', 'siamang']",1
64,menlhk,national,government,2018,Penyelamatan Kukang Malang ,selamat kukang malang,"['selamat', 'kukang', 'malang']",4
65,menlhk,national,government,2018,Para Kukang pun Akhirnya Kembali ke Habitatnya ,kukang habitat,"['kukang', 'habitat']",1
66,cnnindonesia,national,media,2018,Kukang Indonesia Diperdagangkan Ilegal Lewat Facebook,kukang indonesia dagang ilegal facebook,"['kukang', 'indonesia', 'dagang', 'ilegal', 'facebook']",4
67,menlhk,national,government,2018,BKSDA Sumatera Selatan Kembali Menerima Penyerahan Satwa Kukang ,bksda sumatera selatan terima serah satwa kukang,"['bksda', 'sumatera', 'selatan', 'terima', 'serah', 'satwa', 'kukang']",0
68,bbksdajatim,local,government,2018,bbksda jatim dan bpphlhk jabalnusra tangkap penjual kukang online,bbksda jatim bpphlhk jabalnusra tangkap jual kukang online,"['bbksda', 'jatim', 'bpphlhk', 'jabalnusra', 'tangkap', 'jual', 'kukang', 'online']",2
69,republika,national,media,2018,Populasi Kukang Jawa di Tasikmalaya Terancam Habis ,populasi kukang jawa tasikmalaya ancam habis,"['populasi', 'kukang', 'jawa', 'tasikmalaya', 'ancam', 'habis']",5
70,menlhk,national,government,2018,BBKSDA Jabar   Mendapat Penyerahan Ibu dan Anak Kukang ,bbksda jabar serah anak kukang,"['bbksda', 'jabar', 'serah', 'anak', 'kukang']",0
71,menlhk,national,government,2018,Pemilik Petshop serahkan    kukang pada Petugas SKW III BKSDA Kalteng ,milik petshop serah kukang tugas skw iii bksda kalteng,"['milik', 'petshop', 'serah', 'kukang', 'tugas', 'skw', 'iii', 'bksda', 'kalteng']",0
72,detik,national,media,2018,Jual Kukang Via Facebook      Pelajar di Bogor Ditangkap,jual kukang via facebook ajar bogor tangkap,"['jual', 'kukang', 'via', 'facebook', 'ajar', 'bogor', 'tangkap']",2
73,kukangku,national,community,2018,Wana dan Tirta   Kukang Sumatera di Tanah Jawa ,wana tirta kukang sumatera tanah jawa,"['wana', 'tirta', 'kukang', 'sumatera', 'tanah', 'jawa']",4
74,internationalanimalrescue,national,community,2018,Kebebasan      Kukang Sekaligus Kado Istimewa Bagi Jomblo dan Lilo di Hari Hutan Internasional ,bebas kukang kado istimewa jomblo lilo hutan internasional,"['bebas', 'kukang', 'kado', 'istimewa', 'jomblo', 'lilo', 'hutan', 'internasional']",4
75,kukangku,national,community,2018,Niat Menjual Kukang   Malah Dapat Vonis Hukum ,niat jual kukang vonis hukum,"['niat', 'jual', 'kukang', 'vonis', 'hukum']",2
76,republika,national,media,2018,Diduga Kelaparan   Kukang Jawa Ditemukan di Rumah Warga ,duga lapar kukang jawa temu rumah warga,"['duga', 'lapar', 'kukang', 'jawa', 'temu', 'rumah', 'warga']",5
77,kukangku,national,community,2018,Cerita Dibalik Kukang Yang Tak Bergigi ,cerita kukang gigi,"['cerita', 'kukang', 'gigi']",4
78,rekoforest,national,media,2018,Hidupan Liar RER Kukang Sunda ,hidup liar rer kukang sunda,"['hidup', 'liar', 'rer', 'kukang', 'sunda']",6
79,internationalanimalrescue,national,community,2018,Press Release Sejarah Baru Dalam Upaya Penegakan Hukum Terhadap Pelaku Perdagangan Kukang di Indonesia ,press release sejarah upaya tega hukum dagang kukang indonesia,"['press', 'release', 'sejarah', 'upaya', 'tega', 'hukum', 'dagang', 'kukang', 'indonesia']",4
80,antaranews,national,media,2018,Warga serahkan seekor kukang sumatera ,warga serah ekor kukang sumatera,"['warga', 'serah', 'ekor', 'kukang', 'sumatera']",0
81,republika,national,media,2018,BKSDA Amankan Tiga Pelajar Jual Kukang ,bksda aman ajar jual kukang,"['bksda', 'aman', 'ajar', 'jual', 'kukang']",2
82,kukangku,national,community,2018,Kukang Sumatera Yang Tersesat Di Ibukota ,kukang sumatera sesat ibukota,"['kukang', 'sumatera', 'sesat', 'ibukota']",4
83,antaranews,national,media,2018,Memprihatinkan   ribuan kukang diperdagangkan secara terang terangan lewat facebook ,prihatin ribu kukang dagang terang terang facebook,"['prihatin', 'ribu', 'kukang', 'dagang', 'terang', 'terang', 'facebook']",2
84,menlhk,national,government,2018,Seorang Ibu Rumah Tangga di Tasikmalaya Serahkan Seekor Kukang ,rumah tangga tasikmalaya serah ekor kukang,"['rumah', 'tangga', 'tasikmalaya', 'serah', 'ekor', 'kukang']",0
85,internationalanimalrescue,national,community,2018,Tidak Memiliki Gigi   Kukang Jokowi Tidak Bisa Dilepasliarkan ,milik gigi kukang jokowi lepasliar,"['milik', 'gigi', 'kukang', 'jokowi', 'lepasliar']",1
86,liputan6,national,media,2018,Kisah Penyelamatan Kukang dan Lutung Jawa dari Pedagang Satwa Langka ,kisah selamat kukang lutung jawa dagang satwa langka,"['kisah', 'selamat', 'kukang', 'lutung', 'jawa', 'dagang', 'satwa', 'langka']",3
87,trans7,national,media,2018,Si Lambat   Imut Dan Lucu   Si Kukang Kalimantan ,si lambat imut lucu si kukang kalimantan,"['si', 'lambat', 'imut', 'lucu', 'si', 'kukang', 'kalimantan']",4
88,kukangku,national,community,2018,Membantu Vinka   Kukang Buta yang Tak Bisa Kembali ke Habitatnya ,bantu vinka kukang buta habitat,"['bantu', 'vinka', 'kukang', 'buta', 'habitat']",1
89,kompas,national,media,2018,Kukang Albino Jalani Habituasi ,kukang albino jalan habituasi,"['kukang', 'albino', 'jalan', 'habituasi']",4
90,kukangku,national,community,2018,Awas Potensi Penyakit Pada Kukang Yang Dipelihara ,awas potensi sakit kukang pelihara,"['awas', 'potensi', 'sakit', 'kukang', 'pelihara']",4
91,detik,national,media,2018,Sate Gagak dan Daging Kukang   Menu Andalan Ki Joko Bodo Berpuasa,sate gagak daging kukang menu andal ki joko bodo puasa,"['sate', 'gagak', 'daging', 'kukang', 'menu', 'andal', 'ki', 'joko', 'bodo', 'puasa']",4
92,kukangku,national,community,2018,Kukang Jenglot Bahaya Zoonosis Skabies Pada Kukang ,kukang jenglot bahaya zoonosis skabies kukang,"['kukang', 'jenglot', 'bahaya', 'zoonosis', 'skabies', 'kukang']",4
93,kukangku,national,community,2018,     Kukang Merdeka Di Hutan Kareumbi ,kukang merdeka hutan kareumbi,"['kukang', 'merdeka', 'hutan', 'kareumbi']",4
94,republika,national,media,2018,Tiga Pelajar Penjual Kukang Diamankan ,ajar jual kukang aman,"['ajar', 'jual', 'kukang', 'aman']",2
95,republika,national,media,2018,YIARI            Kukang Dijual di Facebook ,yiari kukang jual facebook,"['yiari', 'kukang', 'jual', 'facebook']",2
96,antaranews,national,media,2018,Warga serahkan kukang bunting ke Koservasi Wilayah Muara Teweh ,warga serah kukang bunting koservasi wilayah muara teweh,"['warga', 'serah', 'kukang', 'bunting', 'koservasi', 'wilayah', 'muara', 'teweh']",0
97,liputan6,national,media,2018,Berkah Seekor Kukang Dapat Rumah Baru di Tengah Banjir Riau ,berkah ekor kukang rumah tengah banjir riau,"['berkah', 'ekor', 'kukang', 'rumah', 'tengah', 'banjir', 'riau']",0
98,kompas,national,media,2018,             Tahun Lalu   Kukang Bertubuh Raksasa dan Diburu Manusia  ,tahun kukang tubuh raksasa buru manusia,"['tahun', 'kukang', 'tubuh', 'raksasa', 'buru', 'manusia']",4
99,kukangku,national,community,2018,Sudah Tidak Memiliki Gigi   Jokowi Tidak Bisa Dilepasliarkan ,milik gigi jokowi lepasliar,"['milik', 'gigi', 'jokowi', 'lepasliar']",1
100,sukabumiupdate,local,media,2018,Ribuan Kukang Diperdagangkan Melalui Facebook ,ribu kukang dagang facebook,"['ribu', 'kukang', 'dagang', 'facebook']",2
101,kukangku,national,community,2018,Uluran Tangan Untuk Lintang ,ulur tangan lintang,"['ulur', 'tangan', 'lintang']",1
102,kukangku,national,community,2018,BKSDA Selamatkan Primata Langka Kukang Albino ,bksda selamat primata langka kukang albino,"['bksda', 'selamat', 'primata', 'langka', 'kukang', 'albino']",7
103,kukangku,national,community,2018,Dua Kukang Dilepasliarkan ke Alam Liar ,kukang lepasliar alam liar,"['kukang', 'lepasliar', 'alam', 'liar']",6
104,kukangku,national,community,2018,Derita Hima Dalam Kekangan ,derita hima kekang,"['derita', 'hima', 'kekang']",1
105,kukangku,national,community,2018,Perdagangan Kukang Mulai Marak Lagi di Pasar Hewan? ,dagang kukang marak pasar hewan,"['dagang', 'kukang', 'marak', 'pasar', 'hewan']",4
106,kukangku,national,community,2018,Wah   Penjual Kukang Terancam Lima Tahun ,jual kukang ancam tahun,"['jual', 'kukang', 'ancam', 'tahun']",2
107,kukangku,national,community,2018,Gemblong dkk Kembali Pulang ke Habitatnya ,gemblong dkk pulang habitat,"['gemblong', 'dkk', 'pulang', 'habitat']",1
108,kukangku,national,community,2018,BKSDA Aceh Lepasliarkan Kembali Siamang dan Kukang ke Habitatnya ,bksda aceh lepasliar siamang kukang habitat,"['bksda', 'aceh', 'lepasliar', 'siamang', 'kukang', 'habitat']",1
109,kukangku,national,community,2018,Si Kukang Albino Akhirnya Dilepasliarkan ,si kukang albino lepasliar,"['si', 'kukang', 'albino', 'lepasliar']",4
110,ketapangnews,local,media,2018,Lepasliarkan Orangutan dan Kukang di Hutan Lindung Gunung Tarak ,lepasliar orangutan kukang hutan lindung gunung tarak,"['lepasliar', 'orangutan', 'kukang', 'hutan', 'lindung', 'gunung', 'tarak']",1
111,iscp,national,community,2018,ISCP Launching âKukang Coffeeâ,iscp launching kukang coffee,"['iscp', 'launching', 'kukang', 'coffee']",4
112,kukangku,national,community,2018,Sebelah Mata Untuk Giyo   Lini dan Gazpacho ,belah giyo lini gazpacho,"['belah', 'giyo', 'lini', 'gazpacho']",1
113,bantennews,local,media,2018,BKSDA Serang Amankan Dua Hewan untuk Santet dan Pelet ,bksda serang aman hewan santet pelet,"['bksda', 'serang', 'aman', 'hewan', 'santet', 'pelet']",1
114,menlhk,national,government,2018,Pelepasliaran Satwa Dilindungi di Hari Cinta Puspa dan Satwa Nasional ,pelepasliaran satwa lindung cinta puspa satwa nasional,"['pelepasliaran', 'satwa', 'lindung', 'cinta', 'puspa', 'satwa', 'nasional']",3
115,menlhk,national,government,2018,Penyerahan Satwa dari Kota yang Berbeda Lingkup BBKSDA Jabar ,serah satwa kota beda lingkup bbksda jabar,"['serah', 'satwa', 'kota', 'beda', 'lingkup', 'bbksda', 'jabar']",0
116,menlhk,national,government,2018,Empat Warga Serahkan Satwa Liar kepada BBKSDA Sumut di Hari Cinta Puspa dan Satwa Nasional ,warga serah satwa liar bbksda sumut cinta puspa satwa nasional,"['warga', 'serah', 'satwa', 'liar', 'bbksda', 'sumut', 'cinta', 'puspa', 'satwa', 'nasional']",6
117,antaranews,national,media,2018,Foto Kemarin Lepas Liar Satwa,foto kemarin lepas liar satwa,"['foto', 'kemarin', 'lepas', 'liar', 'satwa']",6
118,buletinsatu,national,media,2018,Diduga Jadi Korban Banjir   BBKSDA Lepas Kembali Seekor Kukang ke Alam Liar,duga korban banjir bbksda lepas ekor kukang alam liar,"['duga', 'korban', 'banjir', 'bbksda', 'lepas', 'ekor', 'kukang', 'alam', 'liar']",6
119,kumparan,national,media,2018,Dosen Unpad yang Juga Aktivis Satwa Menerima Penyerahan Hewan Dilindungi,dosen unpad aktivis satwa terima serah hewan lindung,"['dosen', 'unpad', 'aktivis', 'satwa', 'terima', 'serah', 'hewan', 'lindung']",3
120,kukangku,national,community,2018,Warga Paninjauan Serahkan Hewan Langka ke BKSDA ,warga paninjauan serah hewan langka bksda,"['warga', 'paninjauan', 'serah', 'hewan', 'langka', 'bksda']",0
121,menlhk,national,government,2018,Kemah Konservasi          di Aras Napal        ,kemah konservasi aras napal,"['kemah', 'konservasi', 'aras', 'napal']",1
122,kompas,national,media,2018,Indonesia Seburuk Madagaskar dalam Memperlakukan Primata ,indonesia buruk madagaskar primata,"['indonesia', 'buruk', 'madagaskar', 'primata']",7
123,ciamis,local,media,2018,Belajar Sayang Kukang pada Karmele Llano Sanchez ,ajar sayang kukang karmele llano sanchez,"['ajar', 'sayang', 'kukang', 'karmele', 'llano', 'sanchez']",4
124,gardaanimalia,national,media,2018,BKSDA Bandar Lampung Amankan Kukang Albino dari Perdagangan Online,bksda bandar lampung aman kukang albino dagang online,"['bksda', 'bandar', 'lampung', 'aman', 'kukang', 'albino', 'dagang', 'online']",4
125,tribunnews,national,media,2018,terkait hewan dilindungi bksda garut akui masih banyak warga yang belum mengetahui,kait hewan lindung bksda garut warga,"['kait', 'hewan', 'lindung', 'bksda', 'garut', 'warga']",0
126,bogorraincake,local,media,2018,Inilah Taman Nasional di Bogor,taman nasional bogor,"['taman', 'nasional', 'bogor']",1
127,cakaplah,national,media,2018,BBKDA Lepaskan Harimau dan Beruang Madu ,bbkda lepas harimau beruang madu,"['bbkda', 'lepas', 'harimau', 'beruang', 'madu']",1
128,mongabay,national,media,2019,Selamat dari Perdagangan Liar   Ayut dan Denali Kini Hidup di Hutan Gunung Tampomas,selamat dagang liar ayut denali hidup hutan gunung tampomas,"['selamat', 'dagang', 'liar', 'ayut', 'denali', 'hidup', 'hutan', 'gunung', 'tampomas']",6
129,mongabay,national,media,2019,Kukang Albino Alby Kini Hidup Liar di Bukit Barisan Selatan,kukang albino alby hidup liar bukit baris selatan,"['kukang', 'albino', 'alby', 'hidup', 'liar', 'bukit', 'baris', 'selatan']",6
130,antaranews,national,media,2019,Warga Sukabumi serahkan hewan dilindungi ,warga sukabumi serah hewan lindung,"['warga', 'sukabumi', 'serah', 'hewan', 'lindung']",0
131,tribunnews,national,media,2019,Perdagangan Ilegal Kukang Hewan Dilindungi di Pasar      Ilir Palembang Digagalkan Polisi,dagang ilegal kukang hewan lindung pasar ilir palembang gagal polisi,"['dagang', 'ilegal', 'kukang', 'hewan', 'lindung', 'pasar', 'ilir', 'palembang', 'gagal', 'polisi']",3
